order_id,customer_id,amount,order_date,status
O00001,C00917,188.08,2025-05-08,pending
O00002,C00545,514.15,2025-04-20,cancelled
O00003,C00402,1970.50,2025-04-24,delivered
O00004,C00508,1036.47,2025-04-12,delivered
O00005,C00723,2985.60,2025-12-01,pending
O00006,C00190,2521.17,2025-12-20,cancelled
O00007,C00757,1533.57,2025-12-08,shipped
O00008,C00323,3410.40,2025-03-06,delivered
O00009,C00922,2281.53,2025-01-22,cancelled
O00010,C00439,1676.93,2025-03-09,pending
O00011,C00175,3399.22,2025-01-20,delivered
O00012,C00993,2374.41,2025-01-16,shipped
O00013,C00484,555.84,2025-01-19,delivered
O00014,C00856,1149.16,2025-09-06,shipped
O00015,C00794,478.61,2025-05-26,delivered
O00016,C00464,2458.40,2025-06-18,delivered
O00017,C00680,2437.60,2025-06-15,pending
O00018,C00848,1769.61,2025-12-11,refunded
O00019,C00794,3323.05,2025-10-16,pending
O00020,C00277,3432.06,2025-12-21,pending
O00021,C00152,4893.40,2025-04-22,shipped
O00022,C00366,2494.18,2025-04-19,cancelled
O00023,C00369,1039.47,2025-02-07,cancelled
O00024,C00655,548.58,2025-05-21,refunded
O00025,C00921,4562.83,2025-09-06,delivered
O00026,C00933,3398.54,2025-06-13,refunded
O00027,C00428,4726.88,2025-05-10,shipped
O00028,C00043,2901.79,2025-12-11,refunded
O00029,C00126,2172.96,2025-08-19,delivered
O00030,C00296,559.85,2025-01-16,shipped
O00031,C00478,3407.81,2025-09-10,refunded
O00032,C00572,3324.96,2025-05-16,delivered
O00033,C00067,4000.93,2025-01-15,pending
O00034,C00223,1422.26,2025-10-04,pending
O00035,C00501,1536.05,2025-07-12,pending
O00036,C00052,1264.65,2025-06-10,refunded
O00037,C00682,4793.04,2025-09-05,pending
O00038,C00731,1360.64,2025-12-07,cancelled
O00039,C00600,4592.12,2025-05-08,pending
O00040,C00485,4665.34,2025-04-26,cancelled
O00041,C00433,2001.58,2025-02-09,delivered
O00042,C00612,1560.57,2025-10-14,delivered
O00043,C00824,2895.06,2025-11-25,shipped
O00044,C00257,687.10,2025-09-07,delivered
O00045,C00313,437.13,2025-10-21,cancelled
O00046,C00559,925.03,2025-07-04,shipped
O00047,C00540,2215.09,2025-06-17,delivered
O00048,C00480,1777.43,2025-08-14,cancelled
O00049,C00473,148.09,2025-09-01,cancelled
O00050,C00091,3781.72,2025-10-10,shipped
O00051,C00595,2565.91,2025-03-20,refunded
O00052,C00922,2832.22,2025-05-02,cancelled
O00053,C00129,2020.68,2025-01-15,refunded
O00054,C00472,4197.60,2025-02-02,delivered
O00055,C00850,4931.01,2025-02-11,refunded
O00056,C00100,4111.48,2025-10-16,delivered
O00057,C00886,313.72,2025-12-19,refunded
O00058,C00758,3587.59,2025-12-07,refunded
O00059,C00148,2814.63,2025-08-05,shipped
O00060,C00917,3381.65,2025-03-10,delivered
O00061,C00737,4945.90,2025-01-26,cancelled
O00062,C00639,3442.00,2025-02-03,pending
O00063,C00157,3022.92,2025-02-17,pending
O00064,C00254,1029.43,2025-08-01,refunded
O00065,C00455,1959.66,2025-02-10,cancelled
O00066,C00496,4913.65,2025-04-27,refunded
O00067,C00267,4110.22,2025-11-15,refunded
O00068,C00127,2167.44,2025-11-01,shipped
O00069,C00146,4094.57,2025-11-08,shipped
O00070,C00524,3710.91,2025-09-07,cancelled
O00071,C00492,1457.28,2025-11-04,refunded
O00072,C00505,1843.02,2025-05-13,cancelled
O00073,C00715,4001.28,2025-08-14,cancelled
O00074,C00152,149.57,2025-08-04,refunded
O00075,C00399,64.99,2025-05-02,refunded
O00076,C00456,222.73,2025-06-05,cancelled
O00077,C00904,3618.10,2025-05-01,shipped
O00078,C00367,2508.19,2025-09-07,delivered
O00079,C00925,3534.06,2025-07-17,pending
O00080,C00179,3283.04,2025-06-21,refunded
O00081,C00348,2302.81,2025-03-09,delivered
O00082,C00946,1975.70,2025-11-16,cancelled
O00083,C00986,2364.04,2025-11-06,refunded
O00084,C00726,4637.79,2025-11-17,delivered
O00085,C00133,3491.87,2025-10-19,delivered
O00086,C00599,3091.20,2025-07-03,pending
O00087,C00031,4261.64,2025-03-08,pending
O00088,C00682,540.04,2025-11-16,delivered
O00089,C00779,1165.36,2025-12-26,shipped
O00090,C00108,4499.97,2025-03-24,cancelled
O00091,C00774,4866.87,2025-02-02,refunded
O00092,C00257,581.22,2025-12-03,cancelled
O00093,C00782,1877.87,2025-11-27,pending
O00094,C00946,878.60,2025-02-23,cancelled
O00095,C00387,674.75,2025-11-19,refunded
O00096,C00205,986.63,2025-08-15,delivered
O00097,C00231,1013.95,2025-03-14,refunded
O00098,C00829,3952.12,2025-02-19,pending
O00099,C00645,4799.56,2025-02-07,pending
O00100,C00830,711.41,2025-01-12,cancelled
O00101,C00582,2737.44,2025-02-11,shipped
O00102,C00699,3652.59,2025-12-21,refunded
O00103,C00509,958.78,2025-04-19,cancelled
O00104,C00513,1767.01,2025-10-18,shipped
O00105,C00821,345.10,2025-07-21,cancelled
O00106,C00895,363.63,2025-02-05,refunded
O00107,C00306,513.56,2025-08-08,pending
O00108,C00616,2707.28,2025-01-08,delivered
O00109,C00945,4142.46,2025-07-23,delivered
O00110,C00070,4363.49,2025-03-10,pending
O00111,C00548,2881.03,2025-09-20,refunded
O00112,C00320,2002.11,2025-01-18,pending
O00113,C00597,2360.18,2025-05-21,pending
O00114,C00034,1696.85,2025-05-07,delivered
O00115,C00910,3826.03,2025-03-07,refunded
O00116,C00837,3672.02,2025-11-02,shipped
O00117,C00506,373.83,2025-10-20,pending
O00118,C00355,4905.47,2025-07-20,refunded
O00119,C00952,412.16,2025-09-16,shipped
O00120,C00278,3619.42,2025-02-02,cancelled
O00121,C00520,1133.97,2025-06-14,cancelled
O00122,C00311,3909.89,2025-04-01,pending
O00123,C00027,3870.33,2025-04-18,refunded
O00124,C00881,1903.15,2025-11-24,pending
O00125,C00566,2416.04,2025-07-25,cancelled
O00126,C00713,634.93,2025-12-14,refunded
O00127,C00142,586.76,2025-02-20,delivered
O00128,C00361,976.29,2025-07-02,shipped
O00129,C00238,469.03,2025-01-08,cancelled
O00130,C00766,3765.32,2025-09-19,pending
O00131,C00822,84.34,2025-12-08,pending
O00132,C00079,292.71,2025-08-06,delivered
O00133,C00045,1577.49,2025-10-21,shipped
O00134,C00300,657.28,2025-07-16,pending
O00135,C00673,393.25,2025-05-18,shipped
O00136,C00507,3529.22,2025-06-28,shipped
O00137,C00455,3568.54,2025-06-25,refunded
O00138,C00300,4346.17,2025-04-17,delivered
O00139,C00327,3491.88,2025-09-04,pending
O00140,C00355,4503.12,2025-12-20,cancelled
O00141,C00287,401.45,2025-03-27,refunded
O00142,C00237,1531.65,2025-09-07,pending
O00143,C00382,3627.30,2025-03-02,shipped
O00144,C00716,2206.98,2025-08-04,pending
O00145,C00511,4183.26,2025-05-09,refunded
O00146,C00394,1509.06,2025-02-02,delivered
O00147,C00876,3052.64,2025-08-01,cancelled
O00148,C00394,2225.66,2025-04-07,cancelled
O00149,C00189,3303.03,2025-09-02,delivered
O00150,C00033,2712.33,2025-06-01,refunded
O00151,C00773,4466.92,2025-05-26,refunded
O00152,C00222,3788.69,2025-06-24,refunded
O00153,C00445,4330.05,2025-12-24,pending
O00154,C00827,554.96,2025-07-24,delivered
O00155,C00880,4954.55,2025-09-15,cancelled
O00156,C00587,3598.91,2025-09-09,shipped
O00157,C00984,1912.64,2025-12-08,shipped
O00158,C00930,85.77,2025-11-09,pending
O00159,C00256,3858.98,2025-05-11,refunded
O00160,C00405,202.64,2025-05-12,delivered
O00161,C00676,1260.06,2025-11-26,refunded
O00162,C00013,630.29,2025-10-22,delivered
O00163,C00857,1329.94,2025-03-15,cancelled
O00164,C00018,2205.15,2025-08-02,delivered
O00165,C00492,3192.34,2025-09-07,cancelled
O00166,C00060,2902.06,2025-02-09,refunded
O00167,C00565,1576.99,2025-02-15,shipped
O00168,C00265,3832.22,2025-05-09,cancelled
O00169,C00131,1144.82,2025-03-05,refunded
O00170,C00672,257.40,2025-02-21,pending
O00171,C00189,3425.36,2025-08-19,delivered
O00172,C00043,2771.50,2025-04-02,delivered
O00173,C00999,1294.65,2025-11-28,delivered
O00174,C00554,3594.41,2025-10-08,delivered
O00175,C00112,396.62,2025-08-04,refunded
O00176,C00080,1192.52,2025-06-19,delivered
O00177,C00850,4115.24,2025-07-03,cancelled
O00178,C00897,1422.59,2025-01-11,refunded
O00179,C00808,1807.83,2025-07-21,delivered
O00180,C00482,4712.97,2025-05-20,pending
O00181,C00165,1847.83,2025-05-05,refunded
O00182,C00027,540.10,2025-04-26,delivered
O00183,C00524,3581.68,2025-12-17,refunded
O00184,C00730,1726.82,2025-04-13,refunded
O00185,C00034,3288.73,2025-03-13,pending
O00186,C00979,395.78,2025-04-19,refunded
O00187,C00589,3155.32,2025-12-14,refunded
O00188,C00751,615.00,2025-09-26,pending
O00189,C00622,2366.92,2025-09-17,cancelled
O00190,C00325,1353.22,2025-10-10,shipped
O00191,C00337,1222.94,2025-06-08,cancelled
O00192,C00323,3743.46,2025-02-23,shipped
O00193,C00456,3666.66,2025-07-12,pending
O00194,C00361,2806.68,2025-02-12,cancelled
O00195,C00620,1159.45,2025-07-08,refunded
O00196,C00848,4135.65,2025-03-18,shipped
O00197,C00796,4547.24,2025-11-19,shipped
O00198,C00621,1308.79,2025-05-11,delivered
O00199,C00121,416.71,2025-07-17,shipped
O00200,C00590,2476.06,2025-04-06,cancelled
O00201,C00016,842.19,2025-07-09,refunded
O00202,C00729,4651.32,2025-12-04,shipped
O00203,C00891,180.04,2025-07-01,shipped
O00204,C00075,670.56,2025-09-13,cancelled
O00205,C00363,645.99,2025-12-18,shipped
O00206,C00730,1474.03,2025-06-27,delivered
O00207,C00606,3047.70,2025-02-24,pending
O00208,C00076,3696.35,2025-06-15,cancelled
O00209,C00646,2254.27,2025-07-10,cancelled
O00210,C00717,681.68,2025-03-24,refunded
