order_id,customer_id,amount,order_date,status
ORD_1,CUST_927,188.08,2024-08-07,pending
ORD_2,CUST_555,514.15,2024-08-01,cancelled
ORD_3,CUST_412,1970.5,2025-11-16,delivered
ORD_4,CUST_518,1036.47,2025-01-17,delivered
ORD_5,CUST_733,2985.6,2024-12-25,pending
ORD_6,CUST_200,2521.17,2026-02-04,cancelled
ORD_7,CUST_767,1533.57,2025-02-16,shipped
ORD_8,CUST_333,3410.4,2025-11-17,delivered
ORD_9,CUST_932,2281.53,2025-01-27,cancelled
ORD_10,CUST_449,1676.93,2025-01-09,pending
ORD_11,CUST_185,3399.22,2026-01-07,delivered
ORD_12,CUST_1003,2374.41,2025-11-02,shipped
ORD_13,CUST_494,555.84,2024-03-24,delivered
ORD_14,CUST_866,1149.16,2025-08-04,shipped
ORD_15,CUST_804,478.61,2024-12-25,delivered
ORD_16,CUST_474,2458.4,2025-05-09,delivered
ORD_17,CUST_690,2437.6,2024-10-12,pending
ORD_18,CUST_858,1769.61,2026-08-26,refunded
ORD_19,CUST_804,3323.05,2025-08-23,pending
ORD_20,CUST_287,3432.06,2026-02-25,pending
ORD_21,CUST_162,4893.4,2026-01-20,shipped
ORD_22,CUST_376,2494.18,2024-05-03,cancelled
ORD_23,CUST_379,1039.47,2024-10-20,cancelled
ORD_24,CUST_665,548.58,2026-02-25,refunded
ORD_25,CUST_931,4562.83,2025-08-04,delivered
ORD_26,CUST_943,3398.54,2025-08-27,refunded
ORD_27,CUST_438,4726.88,2025-03-02,shipped
ORD_28,CUST_53,2901.79,2026-08-26,refunded
ORD_29,CUST_136,2172.96,2026-08-16,delivered
ORD_30,CUST_306,559.85,2025-11-02,shipped
ORD_31,CUST_488,3407.81,2026-04-13,refunded
ORD_32,CUST_582,3324.96,2025-09-13,delivered
ORD_33,CUST_77,4000.93,2024-10-07,pending
ORD_34,CUST_233,1422.26,2026-06-29,pending
ORD_35,CUST_511,1536.05,2025-11-11,pending
ORD_36,CUST_62,1264.65,2025-08-11,refunded
ORD_37,CUST_692,4793.04,2025-03-26,pending
ORD_38,CUST_741,1360.64,2025-02-25,cancelled
ORD_39,CUST_610,4592.12,2024-08-07,pending
ORD_40,CUST_495,4665.34,2025-09-02,cancelled
ORD_41,CUST_443,2001.58,2024-07-15,delivered
ORD_42,CUST_622,1560.57,2025-07-20,delivered
ORD_43,CUST_834,2895.06,2025-01-22,shipped
ORD_44,CUST_267,687.1,2026-06-08,delivered
ORD_45,CUST_323,437.13,2025-08-20,cancelled
ORD_46,CUST_569,925.03,2024-08-07,shipped
ORD_47,CUST_550,2215.09,2025-11-21,delivered
ORD_48,CUST_490,1777.43,2025-06-08,cancelled
ORD_49,CUST_483,148.09,2025-04-08,cancelled
ORD_50,CUST_101,3781.72,2025-11-10,shipped
ORD_51,CUST_605,2565.91,2024-06-24,refunded
ORD_52,CUST_932,2832.22,2024-12-10,cancelled
ORD_53,CUST_139,2020.68,2024-10-07,refunded
ORD_54,CUST_482,4197.6,2024-11-14,delivered
ORD_55,CUST_860,4931.01,2024-06-26,refunded
ORD_56,CUST_110,4111.48,2025-08-23,delivered
ORD_57,CUST_896,313.72,2026-11-28,refunded
ORD_58,CUST_768,3587.59,2025-02-25,refunded
ORD_59,CUST_158,2814.63,2025-01-09,shipped
ORD_60,CUST_927,3381.65,2025-09-15,delivered
ORD_61,CUST_747,4945.9,2024-11-22,cancelled
ORD_62,CUST_649,3442.0,2024-09-03,pending
ORD_63,CUST_167,3022.92,2025-12-13,pending
ORD_64,CUST_264,1029.43,2025-10-31,refunded
ORD_65,CUST_465,1959.66,2024-10-30,cancelled
ORD_66,CUST_506,4913.65,2024-11-24,refunded
ORD_67,CUST_277,4110.22,2025-04-10,refunded
ORD_68,CUST_137,2167.44,2025-12-24,shipped
ORD_69,CUST_156,4094.57,2026-03-02,shipped
ORD_70,CUST_534,3710.91,2026-06-08,cancelled
ORD_71,CUST_502,1457.28,2026-03-19,refunded
ORD_72,CUST_515,1843.02,2025-08-27,cancelled
ORD_73,CUST_725,4001.28,2025-06-08,cancelled
ORD_74,CUST_162,149.57,2025-01-07,refunded
ORD_75,CUST_409,64.99,2024-12-10,refunded
ORD_76,CUST_466,222.73,2024-12-23,cancelled
ORD_77,CUST_914,3618.1,2026-03-24,shipped
ORD_78,CUST_377,2508.19,2026-06-08,delivered
ORD_79,CUST_935,3534.06,2026-05-31,pending
ORD_80,CUST_189,3283.04,2025-07-03,refunded
