payment_id,order_id,amount,method,paid_at
P00001,O00811,1161.45,card,2025-05-12
P00002,O00091,2992.26,check,2025-08-18
P00003,O00168,1869.47,wire,2025-12-18
P00004,O00554,732.75,wire,2025-07-06
P00005,O00595,2011.89,check,2025-06-25
P00006,O00300,742.43,check,2025-11-18
P00007,O00418,1804.84,check,2025-02-20
P00008,O00260,4424.44,wire,2025-06-21
P00009,O00478,2256.59,crypto,2025-11-06
P00010,O00912,218.56,crypto,2025-11-05
P00011,O00614,1711.54,ach,2025-10-05
P00012,O00836,3962.43,check,2025-02-27
P00013,O00430,4404.21,crypto,2025-09-02
P00014,O00533,523.56,card,2025-05-18
P00015,O00681,4711.74,ach,2025-11-23
P00016,O00807,1677.82,card,2025-06-24
P00017,O00857,3985.58,crypto,2025-07-17
P00018,O00673,4097.71,ach,2025-10-12
P00019,O00768,2042.95,card,2025-04-21
P00020,O00660,2271.00,ach,2025-12-01
P00021,O00915,3969.00,crypto,2025-02-16
P00022,O00148,4579.64,wire,2025-04-25
P00023,O00416,1517.77,ach,2025-09-21
P00024,O00099,4758.00,ach,2025-01-01
P00025,O00032,1482.44,ach,2025-03-27
P00026,O00795,3404.01,card,2025-05-15
P00027,O00974,599.17,wire,2025-11-13
P00028,O00011,3490.60,wire,2025-06-13
P00029,O00384,1046.20,check,2025-10-19
P00030,O00942,2394.81,crypto,2025-10-02
P00031,O00696,2459.21,card,2025-08-11
P00032,O00360,160.05,check,2025-07-25
P00033,O00552,3850.09,check,2025-12-19
P00034,O00636,4403.78,check,2025-01-13
P00035,O00040,4814.03,card,2025-08-09
P00036,O00557,464.78,ach,2025-12-27
P00037,O00733,3158.34,card,2025-08-13
P00038,O00768,1690.23,crypto,2025-08-02
P00039,O00331,1552.52,check,2025-04-20
P00040,O00421,479.29,ach,2025-10-28
P00041,O00692,3905.27,crypto,2025-08-03
P00042,O00515,910.26,wire,2025-12-19
P00043,O00398,4007.53,crypto,2025-11-24
P00044,O00050,1269.76,card,2025-12-17
P00045,O00503,873.72,check,2025-05-28
P00046,O00167,203.88,crypto,2025-06-14
P00047,O00113,3435.60,card,2025-04-16
P00048,O00498,1248.97,check,2025-12-26
P00049,O00670,4527.52,check,2025-01-10
P00050,O00188,1121.00,crypto,2025-08-08
P00051,O00731,2226.11,card,2025-02-06
P00052,O00143,664.34,crypto,2025-10-01
P00053,O00449,2483.25,check,2025-01-23
P00054,O00538,4488.96,wire,2025-11-18
P00055,O00109,2096.03,card,2025-05-14
P00056,O00571,3511.73,card,2025-02-03
P00057,O00270,4389.52,wire,2025-08-13
P00058,O00520,4596.78,ach,2025-02-01
P00059,O00166,436.46,ach,2025-11-07
P00060,O00457,3301.01,crypto,2025-06-18
P00061,O00270,2392.01,ach,2025-10-14
P00062,O00119,2800.53,ach,2025-04-05
P00063,O00308,670.41,check,2025-01-12
P00064,O00062,2553.43,card,2025-02-17
P00065,O00682,1333.11,crypto,2025-01-10
P00066,O00902,4058.25,wire,2025-04-28
P00067,O00492,4007.12,ach,2025-11-16
P00068,O00490,2396.28,card,2025-03-13
P00069,O00567,3168.82,crypto,2025-02-05
P00070,O00684,639.14,crypto,2025-03-28
P00071,O00779,344.63,crypto,2025-02-19
P00072,O00169,1239.10,check,2025-11-12
P00073,O00961,1130.58,wire,2025-07-02
P00074,O00771,2162.20,wire,2025-07-01
P00075,O00198,3359.92,wire,2025-07-15
P00076,O00621,4182.68,ach,2025-12-05
P00077,O00491,3076.40,crypto,2025-07-21
P00078,O00893,3778.37,ach,2025-04-20
P00079,O00534,1441.70,card,2025-07-20
P00080,O00032,2089.50,crypto,2025-02-23
P00081,O00914,3886.35,card,2025-06-09
P00082,O00403,1407.76,wire,2025-05-27
P00083,O00549,3028.45,wire,2025-08-17
P00084,O00500,1933.54,crypto,2025-12-18
P00085,O00946,3412.51,crypto,2025-11-26
P00086,O00588,690.65,wire,2025-02-23
P00087,O00502,4876.26,crypto,2025-09-20
P00088,O00647,319.36,wire,2025-05-28
P00089,O00296,2974.20,ach,2025-06-11
P00090,O00929,1200.88,ach,2025-06-10
P00091,O00197,4129.55,crypto,2025-11-14
P00092,O00286,1323.23,check,2025-11-22
P00093,O00193,3842.73,ach,2025-12-10
P00094,O00195,3437.08,wire,2025-12-18
