payment_id,order_id,amount,method,paid_at
PAY_1,ORD_811,1161.45,card,2025-07-11
PAY_2,ORD_91,2992.26,check,2024-11-10
PAY_3,ORD_168,1869.47,wire,2025-08-11
PAY_4,ORD_554,732.75,wire,2026-02-06
PAY_5,ORD_595,2011.89,check,2025-03-21
PAY_6,ORD_300,742.43,check,2024-12-28
PAY_7,ORD_418,1804.84,check,2025-11-24
PAY_8,ORD_260,4424.44,wire,2025-07-03
PAY_9,ORD_478,2256.59,crypto,2026-01-28
PAY_10,ORD_912,218.56,crypto,2025-07-05
PAY_11,ORD_614,1711.54,ach,2025-06-04
PAY_12,ORD_836,3962.43,check,2024-12-01
PAY_13,ORD_430,4404.21,crypto,2025-05-14
PAY_14,ORD_533,523.56,card,2024-12-23
PAY_15,ORD_681,4711.74,ach,2026-05-03
PAY_16,ORD_807,1677.82,card,2026-03-30
PAY_17,ORD_857,3985.58,crypto,2026-05-31
PAY_18,ORD_673,4097.71,ach,2025-09-02
PAY_19,ORD_768,2042.95,card,2025-11-21
PAY_20,ORD_660,2271.0,ach,2024-12-25
PAY_21,ORD_915,3969.0,crypto,2024-09-04
PAY_22,ORD_148,4579.64,wire,2024-06-22
PAY_23,ORD_416,1517.77,ach,2025-07-03
PAY_24,ORD_99,4758.0,ach,2025-05-25
PAY_25,ORD_32,1482.44,ach,2025-01-30
PAY_26,ORD_795,3404.01,card,2025-03-11
PAY_27,ORD_974,599.17,wire,2026-03-23
PAY_28,ORD_11,3490.6,wire,2025-08-27
PAY_29,ORD_384,1046.2,check,2024-11-03
PAY_30,ORD_942,2394.81,crypto,2025-11-03
PAY_31,ORD_696,2459.21,card,2025-02-18
PAY_32,ORD_360,160.05,check,2025-01-19
PAY_33,ORD_552,3850.09,check,2026-11-28
PAY_34,ORD_636,4403.78,check,2025-08-25
PAY_35,ORD_40,4814.03,card,2024-08-19
PAY_36,ORD_557,464.78,ach,2025-06-21
PAY_37,ORD_733,3158.34,card,2025-10-09
PAY_38,ORD_768,1690.23,crypto,2025-08-06
PAY_39,ORD_331,1552.52,check,2024-08-01
PAY_40,ORD_421,479.29,ach,2025-11-23
PAY_41,ORD_692,3905.27,crypto,2025-02-21
PAY_42,ORD_515,910.26,wire,2026-11-28
PAY_43,ORD_398,4007.53,crypto,2025-12-24
PAY_44,ORD_50,1269.76,card,2026-04-01
PAY_45,ORD_503,873.72,check,2026-03-28
PAY_46,ORD_167,203.88,crypto,2025-09-01
PAY_47,ORD_113,3435.6,card,2026-01-24
PAY_48,ORD_498,1248.97,check,2025-04-29
PAY_49,ORD_670,4527.52,check,2024-07-02
PAY_50,ORD_188,1121.0,crypto,2025-06-01
PAY_51,ORD_731,2226.11,card,2025-09-19
PAY_52,ORD_143,664.34,crypto,2025-11-26
PAY_53,ORD_449,2483.25,check,2024-04-23
PAY_54,ORD_538,4488.96,wire,2024-12-28
PAY_55,ORD_109,2096.03,card,2025-07-04
PAY_56,ORD_571,3511.73,card,2024-09-03
PAY_57,ORD_270,4389.52,wire,2025-10-09
PAY_58,ORD_520,4596.78,ach,2024-08-11
PAY_59,ORD_166,436.46,ach,2024-12-18
PAY_60,ORD_457,3301.01,crypto,2025-05-09
PAY_61,ORD_270,2392.01,ach,2025-07-20
PAY_62,ORD_119,2800.53,ach,2024-07-27
PAY_63,ORD_308,670.41,check,2025-07-18
PAY_64,ORD_62,2553.43,card,2025-12-13
PAY_65,ORD_682,1333.11,crypto,2024-07-02
PAY_66,ORD_902,4058.25,wire,2025-08-20
PAY_67,ORD_492,4007.12,ach,2025-04-08
PAY_68,ORD_490,2396.28,card,2025-11-14
PAY_69,ORD_567,3168.82,crypto,2024-06-10
PAY_70,ORD_684,639.14,crypto,2025-03-24
PAY_71,ORD_779,344.63,crypto,2024-09-20
PAY_72,ORD_169,1239.1,check,2026-03-30
PAY_73,ORD_961,1130.58,wire,2026-03-28
PAY_74,ORD_771,2162.2,wire,2026-06-29
PAY_75,ORD_198,3359.92,wire,2025-01-26
PAY_76,ORD_621,4182.68,ach,2024-12-16
PAY_77,ORD_491,3076.4,crypto,2024-11-14
PAY_78,ORD_893,3778.37,ach,2024-08-01
PAY_79,ORD_534,1441.7,card,2026-05-21
PAY_80,ORD_32,2089.5,crypto,2024-07-25
PAY_81,ORD_914,3886.35,card,2026-02-04
PAY_82,ORD_403,1407.76,wire,2024-12-15
PAY_83,ORD_549,3028.45,wire,2025-05-30
PAY_84,ORD_500,1933.54,crypto,2025-08-11
PAY_85,ORD_946,3412.51,crypto,2026-04-27
PAY_86,ORD_588,690.65,wire,2024-07-25
PAY_87,ORD_502,4876.26,crypto,2024-10-28
PAY_88,ORD_647,319.36,wire,2026-03-28
PAY_89,ORD_296,2974.2,ach,2025-04-10
PAY_90,ORD_929,1200.88,ach,2025-08-11
PAY_91,ORD_197,4129.55,crypto,2026-01-11
PAY_92,ORD_286,1323.23,check,2026-02-17
PAY_93,ORD_193,3842.73,ach,2025-02-02
PAY_94,ORD_195,3437.08,wire,2025-08-11
PAY_95,ORD_567,1609.11,check,2026-06-14
PAY_96,ORD_178,590.47,wire,2026-03-02
PAY_97,ORD_211,2992.67,wire,2025-01-24
PAY_98,ORD_830,2487.29,ach,2026-03-25
PAY_99,ORD_735,1357.35,crypto,2024-11-10
PAY_100,ORD_350,735.97,crypto,2024-07-15
PAY_101,ORD_128,4832.74,crypto,2026-06-29
PAY_102,ORD_69,948.7,wire,2024-11-07
PAY_103,ORD_958,4954.31,crypto,2024-08-01
PAY_104,ORD_582,2105.36,wire,2025-08-09
PAY_105,ORD_644,4908.57,crypto,2024-09-04
PAY_106,ORD_448,1937.49,card,2025-11-17
PAY_107,ORD_126,1809.87,card,2024-03-04
PAY_108,ORD_72,1390.39,crypto,2025-02-23
PAY_109,ORD_131,3920.43,check,2025-01-07
